departamento,municipio,codigo_departamental,codigo_municipal,solar_power_mean_norm,poblacion_expuesta_a_terremotos_norm,poblacion_expuesta_a_inundaciones_norm,poblacion_expuesta_a_ciclones_y_marejadas_norm,poblacion_expuesta_a_deslizamientos_norm,poblacion_afectada_por_sequia_norm,poblacion_expuesta_a_incendios_forestales_norm,capacidad_de_respuesta_norm,infraestructura_norm,iae_norm,solar_suitability_index
Lempira,Tambla,HN13,HN1324,0.704292361485909,0.4099999999999999,0.52,1.0,0.09000000000000008,0.040000000000000036,0.7096774193548385,0.8817204301075269,0.5901639344262296,0.8078167115902966,0.6151670577883874
Intibuca,La Esperanza,HN10,HN1001,0.5897855627466239,0.28,0.58,1.0,0.42999999999999994,1.0,0.32258064516129037,1.0,0.360655737704918,0.8678346810422282,0.6132288275457103
Choluteca,Duyure,HN06,HN0604,0.5588145935734936,1.0,0.13000000000000012,1.0,0.66,0.050000000000000044,0.9677419354838711,0.6451612903225806,0.6229508196721312,0.7176999101527403,0.6129727613783712
El Paraiso,Jacaleapa,HN07,HN0706,0.28490397150487057,1.0,1.0,1.0,0.6,1.0,0.7741935483870968,0.6451612903225806,0.2950819672131148,0.8695417789757413,0.6108884420649451
Choluteca,Pespire,HN06,HN0611,0.8163938845010776,0.21999999999999997,0.09999999999999998,1.0,0.51,0.010000000000000009,0.7741935483870968,0.6451612903225806,0.5737704918032787,0.7195867026055706,0.6105832564356168
Lempira,Erandique,HN13,HN1305,0.6489741870964332,0.26,0.86,1.0,0.05999999999999994,0.39,0.7096774193548385,0.6451612903225806,0.8032786885245903,0.5166217430368374,0.6105697183173137
Francisco Morazan,Alubaren,HN08,HN0802,0.784760460795635,0.35,0.14,1.0,0.06999999999999995,0.040000000000000036,0.9354838709677419,0.2795698924731182,0.7704918032786887,0.815004492362983,0.6091233177243598
Francisco Morazan,Sabanagrande,HN08,HN0816,0.7582647321371361,0.3400000000000001,0.5900000000000001,1.0,0.30999999999999994,0.14,0.6129032258064515,0.2795698924731182,0.459016393442623,0.8465408805031447,0.6081010718146175
Comayagua,San Luis,HN03,HN0316,0.36630288868752076,1.0,1.0,1.0,0.51,0.44000000000000006,0.7096774193548385,0.6451612903225806,0.6721311475409836,0.5986522911051213,0.6071230645826622
La Paz,Aguanqueterique,HN12,HN1202,0.7084161882992683,0.4099999999999999,0.13000000000000012,1.0,0.08000000000000007,0.050000000000000044,0.8387096774193548,1.0,0.7540983606557377,0.7214734950584006,0.6068254321213191
El Paraiso,Texiguat,HN07,HN0716,0.7605306841385785,1.0,0.06999999999999995,1.0,0.06999999999999995,0.030000000000000027,0.8709677419354838,0.2795698924731182,0.8032786885245903,0.401707097933513,0.6045208772340978
Olancho,Manto,HN15,HN1515,0.2816408435265256,1.0,0.71,1.0,0.48,1.0,0.8387096774193548,0.2795698924731182,0.7377049180327869,0.8211141060197664,0.6043572729083565
Colon,Santa Rosa De Aguan,HN02,HN0207,0.546792898061287,1.0,0.11999999999999988,0.21649484536082475,0.73,1.0,0.4838709677419355,0.6881720430107526,0.6721311475409836,0.7563342318059301,0.6040546031928451
Francisco Morazan,Tatumbla,HN08,HN0825,0.4051124199229732,1.0,0.52,1.0,0.53,1.0,0.5161290322580645,0.6451612903225806,0.40983606557377045,0.844743935309973,0.6038731535130278
Francisco Morazan,Curaren,HN08,HN0804,0.6932277878999522,0.22999999999999998,1.0,1.0,0.050000000000000044,0.0,0.7419354838709677,0.6451612903225806,0.9508196721311477,0.26208445642407907,0.6020943321688931
Olancho,El Rosario,HN15,HN1506,0.22425192166126293,1.0,0.77,1.0,1.0,0.45999999999999996,0.9354838709677419,0.2795698924731182,0.7377049180327869,0.8912848158131177,0.600694672847753
Francisco Morazan,San Buenaventura,HN08,HN0818,0.6067760223850143,1.0,0.72,1.0,0.09000000000000008,0.36,0.7096774193548385,0.2795698924731182,0.3278688524590163,0.7416891284815813,0.6004865457137609
Comayagua,La Trinidad,HN03,HN0308,0.5029124591623384,0.38,0.15000000000000002,1.0,0.75,1.0,0.8064516129032259,0.6451612903225806,0.7049180327868854,0.6505840071877808,0.5996147259946076
Santa Barbara,Ceguaca,HN16,HN1605,0.4144889914222008,0.36,0.47,1.0,0.64,1.0,0.6774193548387096,0.6451612903225806,0.7049180327868854,0.8565139263252471,0.5989175687154351
Choluteca,El Corpus,HN06,HN0605,0.6403482377362245,0.20999999999999996,0.74,1.0,0.42000000000000004,0.32000000000000006,0.6774193548387096,0.4623655913978494,0.7049180327868854,0.5844564240790656,0.5972227697544887
Olancho,Silca,HN15,HN1521,0.2313204456514139,1.0,0.8300000000000001,1.0,0.54,1.0,0.8387096774193548,0.2795698924731182,0.6721311475409836,0.8571428571428571,0.5969906317151962
Ocotepeque,Sensenti,HN14,HN1415,0.4803979445186485,0.30999999999999994,1.0,1.0,0.58,0.44000000000000006,0.7741935483870968,0.2795698924731182,0.5573770491803279,0.8427672955974842,0.5945838225861898
Santa Barbara,San Pedro Zacapa,HN16,HN1623,0.4453499118775133,0.3400000000000001,0.61,1.0,0.45999999999999996,1.0,0.7096774193548385,0.6451612903225806,0.5737704918032787,0.816262353998203,0.5933144634146971
El Paraiso,Alauca,HN07,HN0702,0.4279215126809291,1.0,0.6,1.0,0.36,0.030000000000000027,0.8064516129032259,0.6451612903225806,0.7213114754098362,0.7921832884097035,0.5931671671106017
La Paz,Guajiquiro,HN12,HN1206,0.6878051360059894,0.30000000000000004,0.5700000000000001,1.0,0.05999999999999994,0.06999999999999995,0.7096774193548385,0.4623655913978494,0.7540983606557377,0.7285714285714286,0.5920977012559957
Colon,Sonaguera,HN02,HN0208,0.42968530101377383,1.0,0.05999999999999994,1.0,0.47,1.0,0.6451612903225807,0.6451612903225806,0.4918032786885245,0.8796945193171608,0.5915073770908733
Francisco Morazan,Orica,HN08,HN0814,0.28944296356306304,1.0,1.0,1.0,0.53,0.37,0.6774193548387096,0.6451612903225806,0.639344262295082,0.7912848158131176,0.5912711708643437
Colon,Trujillo,HN02,HN0201,0.4716549638552811,1.0,0.09999999999999998,1.0,0.69,1.0,0.5161290322580645,0.2795698924731182,0.4426229508196721,0.8663072776280323,0.5903184967532585
La Paz,Santa Ana,HN12,HN1215,0.6406003045336002,0.28,1.0,1.0,0.24,0.030000000000000027,0.6774193548387096,0.6989247311827956,0.6721311475409836,0.4460017969451932,0.5902147988848402
